Project Number,HCR Project Type,Project Name,Developer Name,County,Municipality,Total Project Cost,Total Units,Affordable Units,Calendar Year
20136018,9% LIHTC,LANDMARK ON MAIN STREET,SK MARIN REAL ESTATE DEVELOPMENT,NASSAU,NORTH HEMPSTEAD,"$13,924,286 ",60,60,2015
20146003,9% LIHTC,NIAGARA CITY LOFTS,CB EMMANUEL REALTY LLC,NIAGARA,NIAGARA FALLS,"$25,178,675 ",61,51,2015
20146005,9% LIHTC,HOUSING FOR VETERANS OF CANANDAIGUA,FINGER LAKES COMMUNITY DEVELOPMENT CORP.,ONTARIIO,GENEVA,"$10,614,843 ",48,48,2015
20146010,9% LIHTC,SIBLEY REDEVELOPMENT PHASE I,WINN DEVELOPMENT LP,MONROE,ROCHESTER,"$31,289,410 ",72,72,2015
20146017,9% LIHTC,HARBOR STREET LOFTS,SUTTON REAL ESTATE COMPANY LLC,ONONDAGA,SYRACUSE,"$10,852,478 ",40,35,2015
20146022,9% LIHTC,LINCOLN GARDENS,"HOME LEASING, LLC",STEUBEN,HORNELL,"$9,496,151 ",25,25,2015
20146023,9% LIHTC,TAPESTRY ON THE HUDSON,"THE COMMUNITY BUILDERS, INC.",RENSSELAER,TROY,"$22,789,440 ",67,60,2015
20146025,9% LIHTC,NYACK POINT APARTMENTS,"ROCKLAND HOUSING ACTION COALITION, INC.",ROCKLAND,NYACK,"$9,400,902 ",33,33,2015
20146029,9% LIHTC,"RIVERVIEW APARTMENTS, CORTLAND","CHRISTOPHER COMMUNITY, INC.",CORTLAND,CORTLAND,"$7,406,700 ",39,39,2015
20146030,9% LIHTC,BLOSSOM VILLAGE APARTMENTS REHAB,URBAN LEAGUE OF ROCHESTER ECONOMIC DEVELOPMENT CORP.,MONROE,BRIGHTON,"$2,094,230 ",24,23,2015
20146031,9% LIHTC,TEMPLE HILL,"WARWICK PROPERTIES, INC.",ORANGE,NEW WINDSOR,"$19,291,942 ",91,91,2015
20146032,9% LIHTC,ULSTER GARDENS II,"WARWICK PROPERTIES, INC.",ULSTER,ULSTER,"$16,016,764 ",82,82,2015
